Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
4748,Brand New 5 Bedroom Semi Detached Duplex, Ikeja Gra Ikeja Lagos,₦,"120,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4749,5 Bedroom Detached Duplex," estate, Ogba, Ikeja Lagos",₦,"85,000,000",0,0,0,5 beds,5 baths,5 Toilets,Other Ikeja
4750,20000 Sqm Commercial Land,Adekunle Fajuyi Ikeja Gra Ikeja Lagos,₦,"150,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4751,8400sqm Land,Adeyemo Alakija Ikeja Gra Ikeja Lagos,₦,"1,600,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4752,8000 Square Meters Of Land,Oba Dosumu Ikeja Gra Ikeja Lagos,₦,"2,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4753,7100 Sqm Land,Harold Shodipo Ikeja Gra Ikeja Lagos,₦,"1,200,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4754,4000 Sqm Land,Showemimo Ikeja Gra Ikeja Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4755,3800 Sqm Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4756,3700 Sqm Land,Oba Akinjobi Ikeja Gra Ikeja Lagos,₦,"1,100,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4757,3200 Sqm Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"600,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4758,3000 Square Meters Land,Ladoke Akintola Ikeja Gra Ikeja Lagos,₦,"500,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4759,3482sqm Land,Adekunle Fajuyi Ikeja Gra Ikeja Lagos,₦,"500,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4760,2100 Sqm Land,Isaac John Ikeja Gra Ikeja Lagos,₦,"500,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4761,2000sqm Land,Sobo Arobiodu Ikeja Gra Ikeja Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4762,1989 Sqm Land,Isaac John Ikeja Gra Ikeja Lagos,₦,"550,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4763,1600 Sqm Land,Ladipo Bateye Ikeja Gra Ikeja Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4764,1500 Square Meters Land,Adekunle Fajuyi Way Ikeja Gra Ikeja Lagos,₦,"350,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4765,1500 Square Meters Land + 5 Bedroom Duplex,Showemimo Ikeja Gra Ikeja Lagos,₦,"350,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4766,1100 Square Meter Land,Oba Akinjobi Way Ikeja Gra Ikeja Lagos,₦,"180,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4767,1000 Square Meters Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4768,995sqm Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"180,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4769,500 Sqm Of Land,Ladoke Akintola Ikeja Gra Ikeja Lagos,₦,"95,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4770,500 Sqm Of Land,Remi Fani Kayode Ikeja Gra Ikeja Lagos,₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4771,500sqm Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4772,4 Bedroom Detached Duplex," omole Phase 1, Ikeja Lagos",₦,"130,000,000",0,0,0,4 beds,0 baths,0 Toilets,Omole
4773,4 Bedroom Semi Detached Duplex, Adeniyi Jones Ikeja Lagos,₦,"57,000,000",0,0,0,4 beds,4 baths,5 Toilets,Adeniyi Jones
4774,A Dry Land For Sale In A Gated Estate Measuring 700sqm .title Is Registered Deed,Valley Estate Cement Mangoro Ikeja Lagos,₦,"20,000,000",0,0,0, beds, baths, Toilets,Other Ikeja
4775,5nos Luxury 5 Bedroom Semi Detached House,Serene Close Adeniyi Jones Ikeja Lagos,₦,"130,000,000",0,1,0,5 beds,5 baths,6 Toilets,Adeniyi Jones
4776,Serviced Luxury 2 Bedroom Flat,Maries Court Ikeja G.r.a Ikeja Lagos,₦,"58,000,000",0,0,0,2 beds,2 baths,3 Toilets,GRA
4777,Shop For Sale,Alade Allen Avenue Ikeja Lagos,₦,"3,000,000",0,0,0, beds, baths, Toilets,Allen Avenue
4778,Land For Sale,Oluwalogbom Agidingbi Ikeja Lagos,₦,"7,500,000,000",0,0,0, beds, baths, Toilets,Agidingbi
4779,A Multipurpose Property,Allen Allen Avenue Ikeja Lagos,₦,"700,000,000",0,0,0, beds, baths, Toilets,Allen Avenue
4780,Mixed Use Land," ogba, Ikeja Lagos",₦,"41,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikeja
4781,5 Bedroom Detached Duplex," omole Phase 1, Ikeja Lagos",₦,"130,000,000",0,0,0,5 beds,6 baths,7 Toilets,Omole
4782,3 Bedroom Flat,Robin Close Marwa Garden Alausa Ikeja Lagos,₦,"30,000,000",0,0,0,3 beds,0 baths,0 Toilets,Alausa
4783,Newly Built 5 Bedroom Detached House With Bq, Allen Avenue Ikeja Lagos,₦,"100,000,000",0,0,0,5 beds,0 baths,0 Toilets,Allen Avenue
4784,200sqm Warehouse,"Off Kudirat Abiola Way, Oregun Ikeja Lagos",₦,"5,000,000",0,0,0,0 beds,0 baths,0 Toilets,Oregun
4785,5 Bedroom Detached Duplex," omole Phase 1, Ikeja Lagos",₦,"130,000,000",0,0,0,5 beds,5 baths,6 Toilets,Omole
4786,5 Bedroom Detached Duplex, Ikeja Gra Ikeja Lagos,₦,"210,000,000",0,0,0,5 beds,0 baths,0 Toilets,GRA
4787,Commercial Building,Adekunle Fajuyi Rd Ikeja Gra Ikeja Lagos,₦,"450,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4788,"1,800m2 Residential Land",Oduduwa Way. Ikeja Gra Ikeja Lagos,₦,"380,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4789,"1,160m2 Prime Residential Land",Abimbola Close Ikeja Gra Ikeja Lagos,₦,"250,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4790,Brand New 5 Bedroom Fully Detached Duplex With A Room Bq,Jones Adeniyi Jones Ikeja Lagos,₦,"97,000,000",0,0,0,5 beds,5 baths,6 Toilets,Adeniyi Jones
4791,20000m2 Commercial Land,Adekunle Fajuyi Way Ikeja Gra Ikeja Lagos,₦,"170,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4792,Hotel, Toyin Street Ikeja Lagos,₦,"250,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikeja
4793,Brand New 5 Bedroom Semi Detached Duplex On 400m2 Land With 2 Rooms Bq,Remi Fani Kayode St. Ikeja Gra Ikeja Lagos,₦,"120,000,000",0,0,0,5 beds,5 baths,6 Toilets,GRA
