Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
114,Exquisitely Finished 5 Bedroom Detached House With Cinema & Private Elevator,Banana Island Ikoyi Lagos,₦,"900,000,000",0,1,0,6 beds,6 baths,7 Toilets,Banana Island
115,Super Luxury & Modern 3 Bedroom Flat With Bq,Gerald Road Ikoyi Lagos,₦,"160,000,000",1,0,0,3 beds,3 baths,4 Toilets,Other Ikoyi
116,Luxury Built 5 Bedroom Fully Detached Duplex With 2room Bq On 600m² Land,"Hanour Point Estate, Ikoyi Lagos",₦,"900,000,000",0,0,0,5 beds,5 baths,6 Toilets,Other Ikoyi
117,6bedroom Detached Mansion,Ikoyi Lagos,₦,"2,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Other Ikoyi
118,Furnished Two Bedroom Flat, Banana Island Ikoyi Lagos,₦,"150,000,000",1,0,1,2 beds,2 baths,3 Toilets,Banana Island
119,Brand New 5 Bedroom Detached House With Private Jetty,Ikoyi Lagos,₦,"600,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
120,Luxury 6 Bedroom Fully Detached Duplex,In A Prestigious Neighborhood Ikoyi Lagos,$,"1,500,000",0,1,0,6 beds,6 baths,7 Toilets,Other Ikoyi
121,Luxury 4 Bedroom Terrace House + Bq,Parkview Estate Ikoyi Lagos,₦,"200,000,000",0,0,0,0 beds,0 baths,0 Toilets,Parkview
122,Brand New Exquisitely Finished 5 Bedroom Semi Detached Duplex,Banana Island Ikoyi Lagos,₦,"500,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
123,Newly Built 4 Bedroom Maisonette With Bq,Osborne Foreshore Estate Ikoyi Lagos,₦,"160,000,000",1,1,0,4 beds,4 baths,5 Toilets,Foreshore
124,"Waterfront Land Measuring 1,691m²",Mojisola Onikoyi Estate Ikoyi Lagos,₦,"1,500,000,000",0,0,0, beds, baths, Toilets,Onikoyi
125,Well Furnished 2 Bedroom Apartment,Parkview Estate Ikoyi Lagos,₦,"130,000,000",1,1,1,2 beds,2 baths,2 Toilets,Parkview
126,Fully Detached 5 Bedroom House,Banana Island Ikoyi Lagos,₦,"950,000,000",0,0,0,5 beds,5 baths,6 Toilets,Banana Island
127,Excellent 4 Bed Semi Detached Duplex With Swimming Pool And Gym In Ikoyi,Ikoyi Lagos,₦,"300,000,000",0,1,0,4 beds,0 baths,0 Toilets,Other Ikoyi
128,Spacious And Luxury One Bedroom Apartment On Banana Island Road Ikoyi,Banana Island Road Mojisola Onikoyi Estate Ikoyi Lagos,₦,"72,000,000",1,0,0,1 beds,1 baths,2 Toilets,Onikoyi
129,A 4bedrooms Semi Detached House + Bq,Dolphin Estate Ikoyi Lagos,₦,"170,000,000",0,0,0,4 beds,3 baths,4 Toilets,Other Ikoyi
130,Fully Serviced 2 Bedroom Luxury Apartment,Ikoyi Lagos,₦,"170,000,000",1,1,0,2 beds,3 baths,3 Toilets,Other Ikoyi
131,"Super Spacious 5 Bed Luxury Maisonette With Swimming Pool, Gym And Elevator",Ikoyi Lagos,₦,"500,000,000",0,0,0,5 beds, baths, Toilets,Other Ikoyi
132,5 Bedroom Fully Detached Duplex,Banana Island Ikoyi Lagos,₦,"1,600,000,000",1,1,0,5 beds,5 baths,6 Toilets,Banana Island
133,2 Bedrooms Flat,Onikoyi Mojisola Onikoyi Estate Ikoyi Lagos,₦,"140,000,000",0,1,0,2 beds,3 baths,3 Toilets,Onikoyi
134,Newly Built 5 Bedroom Detached House,Banana Island Estate Banana Island Ikoyi Lagos,₦,"950,005,000",0,1,0,5 beds,5 baths,6 Toilets,Banana Island
135,Newly Built Waterfront 5 Bedroom Detached House + 2 Rooms Bq,Off Onikoyi Road Ikoyi Ikoyi Lagos,₦,"600,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
136,Spacious And Luxury One Bedroom Apartment,Banana Island Road Mojisola Onikoyi Estate Ikoyi Lagos,₦,"72,000,000",1,0,0,1 beds,1 baths,2 Toilets,Onikoyi
137,4 Bedroom Detached Duplex,Parkview Estate Ikoyi Lagos,₦,"320,000,000",0,1,0,4 beds,4 baths,5 Toilets,Parkview
138,5 Bedroom Penthouse Apartment On Multiple Floors + Elevator,Off Onikoyi Road Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,$,"2,000,000",1,0,0,5 beds,5 baths,6 Toilets,Onikoyi
139,Ecquisitely Finished & Brand New 5 Bedroom Detached Duplex On 4 Floors With Elevator & Cinema (video Available On Request),Old Ikoyi Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,5 baths,6 Toilets,Old Ikoyi
140,Renovated 4bedrooms Terrace + Bq,Parkview Estate Ikoyi Lagos,₦,"8,000,000",1,0,0,4 beds,5 baths,5 Toilets,Parkview
141,"Land Measuring Approximately 1,662m² And Riped For Immediate Development.","Elegushi Road (formerly Club Road), Old Ikoyi, Ikoyi Lagos",₦,"1,250,000,000",0,0,0, beds, baths, Toilets,Old Ikoyi
142,Newly Built 5 Bedroom Fully Detached House,Off Onikoyi Road Ikoyi Mojisola Onikoyi Estate Ikoyi Lagos,₦,"850,000,000",0,1,0,5 beds,5 baths,6 Toilets,Onikoyi
143,Fully Automated 5 Bedroom Fully Detached Duplex With Swimming Pool And Cinema,Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,6 baths,6 Toilets,Other Ikoyi
