Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
50,"Luxury 3 Bedroom Apartment With Maid's Room, Laundry Room, Ac & Fitted Kitchen","Adjoining Eko Atlantic City On Water Corporation Drive Off Ligali Ayorinde, Oniru, Victoria Island Extension Victoria Island Lagos",₦,"87,000,000",1,0,0,3 beds,3 baths,4 Toilets,Victoria Island Extension
51,Functional 27 Rooms Hotel,Off Ligali Ayorinde Ligali Ayorinde Victoria Island Lagos,₦,"1,400,000,000",0,0,0,10 beds,10 baths,10 Toilets,Other Victoria Island
52,Luxury 5 Bedroom Penthouse,Oniru Victoria Island Lagos,₦,"250,000,000",1,1,0,5 beds,5 baths,6 Toilets,Oniru
53,Ultra Modern 2 Bedroom Apartment +bq,Eko Pearl Eko Atlantic Victoria Island Lagos,$,"710,000",1,0,0,2 beds,2 baths,3 Toilets,Other Victoria Island
54,Serviced 4 Bedroom Terrace Duplex With Bq.,Mabogunje Street Oniru Victoria Island Lagos,₦,"137,000,000",1,1,0,4 beds,4 baths,5 Toilets,Oniru
55,A Fenced And Gated Land Measuring 2100sqm,Louis Solomon Close Ahmadu Bello Way Victoria Island Lagos,₦,"1,400,000,000",0,0,0, beds, baths, Toilets,Other Victoria Island
56,Fully Serviced 3bedrooms + Bq,Oniru Estate Oniru Victoria Island Lagos,₦,"150,000,000",1,1,0,3 beds,3 baths,4 Toilets,Oniru
57,Luxury 4 Bedroom With Bq,Oniru Victoria Island Lagos,₦,"200,000,000",1,1,0,4 beds,4 baths,5 Toilets,Oniru
58,5bedrooms Detached Duplex + 1 Room Bq For Sale,Tiamiyu Salvage Ahmadu Bello Way Victoria Island Lagos,₦,"650,000,000",0,0,0,5 beds,4 baths,4 Toilets,Other Victoria Island
59,Luxury One Bedroom Hotel Styled Apartment Along Ahmadu Bello Way Victoria Island,Ahmadu Bello Way Ahmadu Bello Way Victoria Island Lagos,₦,"80,000,000",1,0,0,1 beds,1 baths,2 Toilets,Other Victoria Island
60,Newly Built 2 Bedroom Apartment With Bq,Victoria Island Lagos,₦,"120,000,000",1,1,0,2 beds,2 baths,3 Toilets,Other Victoria Island
61,Luxury 3 Bedroom Apartment,Victoria Island Lagos,₦,"140,000,000",1,1,0,3 beds,3 baths,4 Toilets,Other Victoria Island
62,6074sqm Water Front Sand Filled Drylland,"Lekki Epe Expressway, Victoria Island, By Oriental Hotel, Lagos Victoria Island Extension Victoria Island Lagos",₦,"6,000,000,000",0,0,0,0 beds,0 baths,0 Toilets,Victoria Island Extension
